quantidade_de_alunos,nome_do_curso
43,Lógica de programação
3,Java para Web
11,C# para Web
28,Ruby on Rails
23,Cursos de Python
20,PHP com MySql
64,.NET para web
52,Novas integrações com Java
65,TDD com Java
46,Código limpo com C#
27,Preparatório para certificação Java
21,Hardware básico
39,Persistência com .NET
87,Desenvolvendo jogos
84,Análise de dados
72,Estatística básica
51,Internet das coisas
19,Programação funcional
88,Boas práticas em Java
16,Orientação objetos com Java
